cluster_type,LET,inner_pixels,energy,lw_ratio,density,pixel_count,frame
SMALL_BLOB,0.112,0,56.0,1,1,1,1334
SMALL_BLOB,0.128,0,64.0,1,1,1,1343
SMALL_BLOB,0.476,0,238.0,1,1,2,1349
SMALL_BLOB,0.202,0,101.0,1,1,2,1361
LIGHT_TRACK,1.174,0,588.0,5.666,1.279,9,1363
LIGHT_TRACK,1.446,1,723.0,1.5,2.0,6,1367
SMALL_BLOB,0.09,0,45.0,1,1,1,1375
LIGHT_TRACK,2.233,0,1119.0,7.5,1.667,10,1380
SMALL_BLOB,0.098,0,49.0,1,1,1,1382
LIGHT_TRACK,2.353,2,1179.0,2.417,0.611,17,1392
STRAIGHT_TRACK,2.492,0,1270.0,14.55,0.862,23,1403
SMALL_BLOB,0.46,0,230.0,1,1,2,1405
LIGHT_TRACK,1.955,1,986.0,9.462,0.946,17,1410
LIGHT_TRACK,0.955,0,478.0,6.0,1.685,7,1413
SMALL_BLOB,0.198,0,99.0,1,1,1,1420
SMALL_BLOB,0.674,0,337.0,1,1,3,1430
LIGHT_TRACK,2.135,4,1068.0,1.333,1.083,13,1439
STRAIGHT_TRACK,1.481,0,743.0,9.0,1.528,11,1447
SMALL_BLOB,0.006,0,3.0,1,1,1,1449
LIGHT_TRACK,2.062,2,1031.0,1.5,1.5,9,1455
SMALL_BLOB,0.204,0,102.0,1,1,1,1463
SMALL_BLOB,0.126,0,63.0,1,1,1,1467
LIGHT_TRACK,1.314,0,657.0,2.0,2.5,5,1479
LIGHT_TRACK,1.512,0,759.0,7.727,1.182,13,1480
LIGHT_TRACK,1.405,2,704.0,4.6,1.243,11,1486
LIGHT_TRACK,2.496,2,1261.0,10.5,0.961,19,1490
LIGHT_TRACK,2.18,0,1093.0,4.333,0.909,11,1498
STRAIGHT_TRACK,2.297,0,1156.0,9.4,1.157,16,1501
STRAIGHT_TRACK,1.378,0,690.0,9.0,1.778,8,1516
LIGHT_TRACK,0.656,0,328.0,3.0,2.0,6,1522
SMALL_BLOB,0.094,0,47.0,1,1,1,1531
SMALL_BLOB,0.28,0,140.0,1,1,2,1555
SMALL_BLOB,0.856,0,428.0,1.0,3.0,3,1556
SMALL_BLOB,0.448,0,224.0,1,1,2,1557
SMALL_BLOB,0.338,0,169.0,1,1,2,1563
SMALL_BLOB,0.038,0,19.0,1,1,1,1565
SMALL_BLOB,0.394,0,197.0,1,1,2,1569
SMALL_BLOB,0.088,0,44.0,1,1,1,1592
SMALL_BLOB,0.124,0,62.0,1,1,1,1599
LIGHT_TRACK,1.072,0,537.0,6.0,1.667,8,1615
HEAVY_TRACK,2.614,5,1309.0,2.9,0.821,14,1615
SMALL_BLOB,0.534,0,267.0,1,1,2,1624
SMALL_BLOB,0.026,0,13.0,1,1,1,1646
SMALL_BLOB,0.508,0,254.0,1.0,4.0,4,1647
SMALL_BLOB,0.743,0,372.0,4.0,2.0,4,1648
SMALL_BLOB,0.763,0,382.0,2.0,2.0,4,1656
SMALL_BLOB,0.142,0,71.0,1,1,1,1659
LIGHT_TRACK,2.823,3,1416.0,2.75,0.818,18,1659
SMALL_BLOB,0.386,0,193.0,1,1,2,1661
SMALL_BLOB,0.166,0,83.0,1,1,1,1672
SMALL_BLOB,0.246,0,123.0,1,1,1,1679
LIGHT_TRACK,1.337,0,670.0,6.667,1.5,9,1686
STRAIGHT_TRACK,2.636,0,1338.0,10.68,0.698,20,1694
SMALL_BLOB,0.778,0,389.0,1.0,3.0,3,1698
SMALL_BLOB,0.214,0,107.0,1,1,1,1700
STRAIGHT_TRACK,1.843,0,925.0,8.667,1.199,11,1713
SMALL_BLOB,0.316,0,158.0,1.0,3.0,3,1725
LIGHT_TRACK,1.651,0,827.0,4.0,1.25,10,1725
SMALL_BLOB,0.188,0,94.0,1,1,1,1734
STRAIGHT_TRACK,1.638,0,823.0,9.0,1.264,14,1739
HEAVY_TRACK,3.679,10,1847.0,4.5,1.056,19,1749
LIGHT_TRACK,2.393,0,1207.0,3.145,0.382,21,1749
SMALL_BLOB,0.308,0,154.0,1,1,2,1759
SMALL_BLOB,0.148,0,74.0,1,1,1,1759
LIGHT_TRACK,1.241,0,621.0,2.75,1.591,7,1764
STRAIGHT_TRACK,1.162,0,582.0,8.0,2.0,8,1768
LIGHT_TRACK,1.155,0,578.0,4.5,1.667,6,1769
SMALL_BLOB,0.08,0,40.0,1,1,1,1770
SMALL_BLOB,0.098,0,49.0,1,1,1,1776
SMALL_BLOB,0.046,0,23.0,1,1,1,1777
SMALL_BLOB,0.392,0,196.0,1,1,2,1781
LIGHT_TRACK,1.29,0,646.0,6.0,1.458,7,1785
SMALL_BLOB,0.812,0,406.0,1,1,3,1794
SMALL_BLOB,0.28,0,140.0,1,1,2,1802
SMALL_BLOB,0.218,0,109.0,1,1,1,1807
HEAVY_TRACK,2.047,7,1025.0,2.2,1.182,13,1809
SMALL_BLOB,0.596,0,298.0,1,1,2,1810
SMALL_BLOB,0.39,0,195.0,1,1,2,1812
SMALL_BLOB,0.216,0,108.0,1,1,1,1812
SMALL_BLOB,0.2,0,100.0,1,1,2,1812
SMALL_BLOB,0.254,0,127.0,1,1,2,1814
SMALL_BLOB,0.11,0,55.0,1,1,2,1817
SMALL_BLOB,0.088,0,44.0,1,1,1,1819
SMALL_BLOB,0.13,0,65.0,1,1,1,1819
SMALL_BLOB,0.188,0,94.0,1,1,2,1821
SMALL_BLOB,0.234,0,117.0,1,1,2,1822
SMALL_BLOB,0.044,0,22.0,1,1,1,1830
SMALL_BLOB,0.154,0,77.0,1,1,1,1843
SMALL_BLOB,0.736,0,368.0,1.0,3.0,3,1851
SMALL_BLOB,0.436,0,218.0,1,1,2,1855
SMALL_BLOB,0.526,0,263.0,1,1,2,1864
SMALL_BLOB,0.154,0,77.0,1,1,2,1874
SMALL_BLOB,0.918,0,459.0,1.0,3.0,3,1876
STRAIGHT_TRACK,1.539,0,773.0,9.0,1.271,12,1878
SMALL_BLOB,0.356,0,178.0,1,1,2,1882
SMALL_BLOB,0.737,0,369.0,2.0,2.0,4,1882
SMALL_BLOB,0.118,0,59.0,1,1,1,1885
LIGHT_TRACK,0.669,0,335.0,6.0,1.667,5,1885
LIGHT_TRACK,1.327,0,665.0,4.667,0.989,11,1900
LIGHT_TRACK,1.79,0,898.0,6.143,1.06,11,1905
SMALL_BLOB,0.194,0,97.0,1,1,1,1907
SMALL_BLOB,0.476,0,238.0,1,1,2,1912
SMALL_BLOB,0.408,0,204.0,1,1,2,1914
STRAIGHT_TRACK,2.133,0,1076.0,11.571,1.175,18,1915
LIGHT_TRACK,2.207,2,1104.0,2.5,1.4,7,1916
SMALL_BLOB,0.144,0,72.0,1,1,1,1919
SMALL_BLOB,0.352,0,176.0,1,1,2,1923
