cluster_type,LET,inner_pixels,energy,lw_ratio,density,pixel_count
SMALL_BLOB,0.118,0,59.0,1,1,1
LIGHT_TRACK,0.669,0,335.0,6.0,1.667,5
LIGHT_TRACK,1.327,0,665.0,4.667,0.989,11
LIGHT_TRACK,1.79,0,898.0,6.143,1.06,11
SMALL_BLOB,0.194,0,97.0,1,1,1
SMALL_BLOB,0.476,0,238.0,1,1,2
SMALL_BLOB,0.408,0,204.0,1,1,2
STRAIGHT_TRACK,2.133,0,1076.0,11.571,1.175,18
LIGHT_TRACK,2.207,2,1104.0,2.5,1.4,7
SMALL_BLOB,0.144,0,72.0,1,1,1
SMALL_BLOB,0.352,0,176.0,1,1,2
STRAIGHT_TRACK,2.837,0,1441.0,13.538,0.848,20
SMALL_BLOB,0.65,0,325.0,1,1,2
SMALL_BLOB,0.084,0,42.0,1,1,1
SMALL_BLOB,0.044,0,22.0,1,1,1
LIGHT_TRACK,1.107,0,554.0,4.5,1.444,8
SMALL_BLOB,0.172,0,86.0,1,1,1
SMALL_BLOB,0.164,0,82.0,1,1,1
SMALL_BLOB,0.876,0,438.0,1,1,3
LIGHT_TRACK,1.397,0,701.0,6.75,1.111,12
SMALL_BLOB,0.867,0,434.0,3.0,2.667,4
SMALL_BLOB,0.26,0,130.0,1,1,2
LIGHT_TRACK,1.075,0,538.0,3.5,1.786,5
LIGHT_TRACK,3.357,2,1698.0,2.959,0.316,25
SMALL_BLOB,0.07,0,35.0,1,1,1
SMALL_BLOB,0.626,0,313.0,1.0,3.0,3
LIGHT_TRACK,2.484,2,1253.0,9.5,1.0,19
SMALL_BLOB,0.158,0,79.0,1,1,1
SMALL_BLOB,0.28,0,140.0,1,1,1
SMALL_BLOB,0.318,0,159.0,1,1,2
SMALL_BLOB,0.12,0,60.0,1,1,1
SMALL_BLOB,0.29,0,145.0,1,1,2
SMALL_BLOB,0.192,0,96.0,1,1,2
SMALL_BLOB,0.476,0,238.0,1.0,3.0,3
SMALL_BLOB,0.656,0,328.0,1,1,2
SMALL_BLOB,0.216,0,108.0,1,1,2
SMALL_BLOB,0.15,0,75.0,1,1,1
SMALL_BLOB,0.532,0,266.0,1.0,4.0,4
LIGHT_TRACK,0.939,0,470.0,4.5,1.667,6
STRAIGHT_TRACK,1.338,0,672.0,9.0,1.218,12
LIGHT_TRACK,1.073,0,537.0,6.0,2.333,7
SMALL_BLOB,0.078,0,39.0,1,1,1
SMALL_BLOB,0.42,0,210.0,1,1,1
SMALL_BLOB,0.12,0,60.0,1,1,1
SMALL_BLOB,0.14,0,70.0,1,1,1
SMALL_BLOB,0.078,0,39.0,1,1,1
SMALL_BLOB,0.016,0,8.0,1,1,1
LIGHT_TRACK,0.943,0,472.0,4.0,1.75,7
SMALL_BLOB,0.202,0,101.0,1,1,2
STRAIGHT_TRACK,2.969,0,1507.0,15.667,1.076,21
SMALL_BLOB,0.206,0,103.0,1,1,1
SMALL_BLOB,0.048,0,24.0,1,1,1
SMALL_BLOB,0.344,0,172.0,1,1,2
LIGHT_TRACK,1.945,0,973.0,1.8,0.756,8
SMALL_BLOB,0.14,0,70.0,2.0,3.0,3
LIGHT_TRACK,1.303,0,653.0,7.666,1.449,10
STRAIGHT_TRACK,1.497,0,752.0,9.625,1.287,13
SMALL_BLOB,0.39,0,195.0,1,1,2
LIGHT_TRACK,0.971,0,486.0,6.0,1.667,8
SMALL_BLOB,0.164,0,82.0,1,1,1
SMALL_BLOB,0.386,0,193.0,1,1,2
SMALL_BLOB,0.052,0,26.0,1,1,1
SMALL_BLOB,0.152,0,76.0,1,1,1
SMALL_BLOB,0.178,0,89.0,1,1,1
SMALL_BLOB,0.15,0,75.0,1,1,1
LIGHT_TRACK,0.858,0,429.0,3.0,2.0,6
LIGHT_TRACK,0.929,0,465.0,5.0,1.5,6
SMALL_BLOB,0.12,0,60.0,1,1,1
SMALL_BLOB,0.184,0,92.0,1,1,2
LIGHT_TRACK,1.13,2,565.0,2.0,3.0,6
LIGHT_TRACK,0.921,0,461.0,4.667,1.429,6
SMALL_BLOB,0.3,0,150.0,1,1,1
SMALL_BLOB,0.232,0,116.0,1,1,2
SMALL_BLOB,0.24,0,120.0,1,1,1
SMALL_BLOB,0.096,0,48.0,1,1,1
SMALL_BLOB,0.23,0,115.0,1,1,1
SMALL_BLOB,0.916,0,458.0,1.0,3.0,3
LIGHT_TRACK,1.088,0,545.0,6.5,1.538,8
LIGHT_TRACK,0.491,0,246.0,1,1,5
SMALL_BLOB,0.31,0,155.0,1,1,2
LIGHT_TRACK,3.669,0,1869.0,5.9,0.392,25
SMALL_BLOB,0.06,0,30.0,1,1,1
SMALL_BLOB,0.144,0,72.0,1,1,1
SMALL_BLOB,0.944,0,472.0,1.0,3.0,3
LIGHT_TRACK,1.012,0,506.0,1.5,1.667,5
SMALL_BLOB,0.136,0,68.0,1,1,1
SMALL_BLOB,0.944,0,472.0,1.0,3.0,3
SMALL_BLOB,0.582,0,291.0,1.0,4.0,4
SMALL_BLOB,0.244,0,122.0,1,1,1
SMALL_BLOB,0.366,0,183.0,1,1,1
SMALL_BLOB,0.214,0,107.0,1,1,2
SMALL_BLOB,0.13,0,65.0,1,1,2
STRAIGHT_TRACK,2.396,0,1211.0,9.091,0.823,20
SMALL_BLOB,0.04,0,20.0,1,1,1
SMALL_BLOB,0.883,0,442.0,1.0,4.0,4
SMALL_BLOB,0.524,0,262.0,1,1,1
SMALL_BLOB,0.204,0,102.0,1,1,2
LIGHT_TRACK,2.895,0,1448.0,3.0,2.0,6
MEDIUM_BLOB,5.017,3,2509.0,1.0,2.0,8
SMALL_BLOB,0.202,0,101.0,1,1,1
SMALL_BLOB,0.058,0,29.0,1,1,1
SMALL_BLOB,0.26,0,130.0,1,1,1
SMALL_BLOB,0.374,0,187.0,1,1,1
LIGHT_TRACK,0.876,0,438.0,2.0,2.5,5
SMALL_BLOB,0.076,0,38.0,1,1,1
SMALL_BLOB,0.472,0,236.0,1.0,3.0,3
LIGHT_TRACK,1.165,0,583.0,3.25,1.346,7
LIGHT_TRACK,1.105,0,553.0,6.0,1.685,7
SMALL_BLOB,0.236,0,118.0,1,1,2
LIGHT_TRACK,1.183,0,592.0,5.0,1.6,8
SMALL_BLOB,0.674,0,337.0,1.0,3.0,3
SMALL_BLOB,0.352,0,176.0,1,1,2
SMALL_BLOB,0.54,0,270.0,1.0,4.0,4
SMALL_BLOB,0.074,0,37.0,1,1,1
SMALL_BLOB,0.887,0,444.0,1,1,4
SMALL_BLOB,0.332,0,166.0,1,1,1
SMALL_BLOB,0.134,0,67.0,1,1,1
STRAIGHT_TRACK,7.539,0,4645.0,40.755,0.621,79
SMALL_BLOB,0.054,0,27.0,1,1,1
LIGHT_TRACK,1.393,3,697.0,1.5,1.333,8
STRAIGHT_TRACK,1.935,0,974.0,8.333,0.912,15
LIGHT_TRACK,1.056,0,528.0,2.0,2.5,5
LIGHT_TRACK,1.212,0,607.0,7.0,1.607,9
LIGHT_TRACK,3.391,3,1714.0,5.25,0.571,24
LIGHT_TRACK,1.202,0,602.0,5.4,1.541,8
HEAVY_TRACK,2.107,7,1055.0,2.5,1.3,13
LIGHT_TRACK,0.939,0,470.0,7.0,1.619,6
SMALL_BLOB,0.688,0,344.0,1.0,3.0,3
LIGHT_TRACK,1.368,0,684.0,2.0,2.5,5
LIGHT_TRACK,1.769,0,892.0,1,1,13
SMALL_BLOB,1.095,0,548.0,2.0,2.0,4
SMALL_BLOB,0.256,0,128.0,1,1,2
STRAIGHT_TRACK,3.08,0,1571.0,17.167,1.01,24
LIGHT_TRACK,2.819,0,1440.0,1,1,21
LIGHT_TRACK,0.983,0,492.0,5.333,1.625,6
LIGHT_TRACK,3.012,3,1509.0,3.333,1.0,12
SMALL_BLOB,0.797,0,399.0,2.0,2.0,4
LIGHT_TRACK,1.166,0,584.0,5.167,1.403,9
SMALL_BLOB,0.338,0,169.0,1,1,2
SMALL_BLOB,0.08,0,40.0,1,1,1
LIGHT_TRACK,0.878,0,439.0,2.0,2.5,5
SMALL_BLOB,0.158,0,79.0,1,1,1
LIGHT_TRACK,0.75,0,375.0,2.0,2.5,5
SMALL_BLOB,0.072,0,36.0,1,1,1
SMALL_BLOB,0.178,0,89.0,1,1,1
LIGHT_TRACK,2.178,0,1091.0,2.364,0.524,15
LIGHT_TRACK,2.076,0,1042.0,8.0,1.309,13
